결산구분  ,기준일,펀드      ,펀드명    ,매매처명  ,당일보수  ,미지급보수
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57940556
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,49,8888447
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,56,12570628
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,393,11190904
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,95,10586846
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771017
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321879
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,39,2164723
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,95,49596577
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,9,-130135
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,155,24256510
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,155,-509488
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-183
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-1217
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-56
전기,20240108,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686380
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,74,-22105317
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,51,8888224
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,57,12570685
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,407,11145861
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,98,10586512
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,40,2164748
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,98,49596641
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-131895
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,160,24256670
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,160,-509599
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240109,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,76,-22105241
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,51,8888275
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,58,12570743
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,417,11146278
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,100,10586612
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,41,2164789
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,100,49596741
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-131885
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,162,24256832
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,162,-509437
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240110,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,81,-22105160
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,55,8888330
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,63,12570806
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,454,11146732
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,107,10586719
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,44,2164833
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,107,49596848
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,11,-131874
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,174,24257006
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,174,-509263
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240111,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,77,-22105083
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,52,8888382
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,59,12570865
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,434,11147166
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,101,10586820
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,42,2164875
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,101,49596949
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-131864
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,164,24257170
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,164,-509099
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240112,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,77,-22105006
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,52,8888434
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,59,12570924
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,434,11147600
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,101,10586921
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,42,2164917
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,101,49597050
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-131854
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,164,24257334
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,164,-508935
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240113,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사01,0,-339075
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사02,77,-22104929
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사03,0,-2335296
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사04,0,-57943575
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사05,52,8888486
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사06,59,12570983
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사07,434,11148034
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사08,101,10587022
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사09,0,-771085
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사10,0,-17321903
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사11,42,2164959
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사12,101,49597151
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사13,10,-131844
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사14,164,24257498
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사15,164,-508771
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사16,0,-243
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사17,0,-54611
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사18,0,-69
전기,20240114,FUND001,한빛코스피레버리지증권상장지수투자신탁(주식-파생형),판매사19,0,-17686632
